C9          0  0  0  9  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   142
CH3C4H      0  4  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   143
CH3OCH3     0  6  0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   144
HC7N        0  1  0  7  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   145
C4H3CN      0  3  0  5  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   146
C4H5        0  5  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   147
C6H3        0  3  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   148
C8N         0  0  0  8  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   149
C5H4        0  4  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   150
NC8N        0  0  0  8  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   151
CH2CHCHCH2  0  6  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   152
HC8N        0  1  0  8  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   153
CH3COCH3    0  6  0  3  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   154
C8H2        0  2  0  8  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   155
C9H         0  1  0  9  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   156
C10         0  0  0 10  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   157
C9N         0  0  0  9  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   158
CH3C5N      0  3  0  6  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   159
C3H7        0  7  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   160
C3H5CN      0  5  0  4  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   161
C5H5        0  5  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   162
C6H4        0  4  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   163
C7H3        0  3  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   164
C9O         0  0  0  9  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   165
C2H5CHO     0  6  0  3  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   166
C10H        0  1  0 10  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   167
C11         0  0  0 11  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   168
C9H2        0  2  0  9  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   169
CH3C6H      0  4  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   170
HC9N        0  1  0  9  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   171
C3H8        0  8  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   172
C4H7        0  7  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   173
C5H6        0  6  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   174
C7H4        0  4  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   175
C8H3        0  3  0  8  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   176
c-C6H5      0  5  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   177
C10N        0  0  0 10  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   178
CH3C7N      0  3  0  8  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   179
C6H6        0  6  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   180
C10H2       0  2  0 10  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   181
C4H8        0  8  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   182
C5H7        0  7  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   183
C7H5        0  5  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   184
C8H4        0  4  0  8  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   185
C9H3        0  3  0  9  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   186
