Formula,InChI
CH5O+,"InChI=1S/CH4O/c1-2/h2H,1H3/p+1"
C2H3NH2,"InChI=1S/C2H5N/c1-2-3/h2H,1,3H2"
C2H4NO+,"InChI=1S/C2H4NO/c1-3-2-4/h1H3,(H,3,4)/q+1"
C2H5N+,
C2H5O+,"InChI=1S/C2H5O/c1-2-3/h2H2,1H3/q+1"
C2H6,InChI=1S/C2H6/c1-2/h1-2H3
C2H6+,InChI=1S/C2H6/c1-2/h1-2H3/q+1
C3H4N+,"InChI=1S/C3H4N/c1-2-3-4/h2,4H,1H2/q+1"
C3H4O,"1S/C3H4O/c1-2-3-4/h2-3H,1H2"
C3H5,"InChI=1S/C3H5/c1-3-2/h3H,1-2H2"
C3H5+,"InChI=1S/C3H5/c1-3-2/h3H,1-2H2/q+1"
C4H2CN,InChI=1S/C5H2N/c1-2-3-4-5-6/h1-2H
C4H4,"InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2"
C4H4+,"InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2/q+1"
C5H2N+,InChI=1S/C5HN/c1-2-3-4-5-6/h1H
C5H3,"InChI=1S/C5H3/c1-3-5-4-2/h1H,2H2"
C5H3+,"InChI=1S/C5H3/c1-3-5-4-2/h1H,2H2/q+1"
C6H2,InChI=1S/C6H2/c1-3-5-6-4-2/h1-2H
C6H2+,InChI=1S/C6H2/c1-3-5-6-4-2/h1-2H/q+1
C7H,InChI=1S/C7H/c1-3-5-7-6-4-2/h1H
C7H-,InChI=1S/C7H/c1-3-5-7-6-4-2/h1H/q-1
C7H+,InChI=1S/C7H/c1-3-5-7-6-4-2/h1H/Q+1
C7N,InChI=1S/C7N/c1-2-3-4-5-6-7-8
C7N+,InChI=1S/C7N/c1-2-3-4-5-6-7-8/q+1
C7O,
C8,InChI=1S/C8/c1-3-5-7-8-6-4-2
C8-,InChI=1S/C8/c1-3-5-7-8-6-4-2/q-1
C8+,InChI=1S/C8/c1-3-5-7-8-6-4-2/q+1
CH3C3N,InChI=1S/C4H3N/c1-2-3-4-5/h1H3
CH3CHSH+,"InChI=1S/C2H6S/c1-2-3/h3H,2H2,1H3/p+1"
CH3OCH2,"InChI=1S/C2H5O/c1-3-2/h1H2,2H3"
CH6N+,"InChI=1S/CH5N/c1-2/h2H2,1H3/p+1"
COOCH4+,"InChI=1S/C2H4O2/c1-2(3)4/h3H,1H3/q+1"
C2H5OH,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3"
C2H5OH+,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3/q+1"
C2H7+,
C3H5N+,
C3H6,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3"
C3H6+,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3/q+1"
C4H3CN,
C4H4N+,InChI=1S/C4H3N/c1-2-3-4-5/h1H3/p+1
C4H5,"InChI=1S/C4H5/c1-3-4-2/h1,4H,2H3"
C4H5+,"InChI=1S/C4H5/c1-3-4-2/h1H2,2H3/q+1"
C5H3N+,InChI=1S/C5H3N/c1-2-3-4-5-6/h1H3/q+1
C5H4,
C5H4+,InChI=1S/C5H4/c1-3-5-4-2/h1-2H2/q+1
C6H3,
C6H3+,"InChI=1S/C6H3/c1-3-5-6-4-2/h1H,2H2/q+1"
C6N2H+,
C7H2,InChI=1S/C7H2/c1-3-5-7-6-4-2/h1H2
C7H2+,InChI=1S/C7H2/c1-3-5-7-6-4-2/h1H2/q+1
C7HN+,InChI=1S/C7HN/c1-2-3-4-5-6-7-8/h1H/q+1
C8H,InChI=1S/C8H/c1-3-5-7-8-6-4-2/h1H
C8H-,InChI=1S/C8H/c1-3-5-7-8-6-4-2/h1H/q-1
C8H+,InChI=1S/C8H/c1-3-5-7-8-6-4-2/h1H/q+1
C8N,
C8N+,
C9,InChI=1S/C9/c1-3-5-7-9-8-6-4-2
C9-,InChI=1S/C9/c1-3-5-7-9-8-6-4-2/q-1
C9+,InChI=1S/C9/c1-3-5-7-9-8-6-4-2/q+1
CH3C4H,"InChI=1S/C5H4/c1-3-5-4-2/h1H,2H3"
CH3OCH3,InChI=1S/C2H6O/c1-3-2/h1-2H3
CH3OCH3+,InChI=1S/C2H6O/c1-3-2/h1-2H3/q+1
C10,InChI=1S/C10/c1-3-5-7-9-10-8-6-4-2
C10-,InChI=1S/C10/c1-3-5-7-9-10-8-6-4-2/q-1
C10+,InChI=1S/C10/c1-3-5-7-9-10-8-6-4-2/q+1
C2H5OH2+,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3/p+1"
C2H6CO,InChI=1S/C3H6O/c1-3(2)4/h1-2H3
C2H6CO+,InChI=1S/C3H6O/c1-3(2)4/h1-2H3/q+1
C3H5CN,"InChI=1S/C4H5N/c1-2-3-4-5/h2H,1,3H2"
C3H5NH+,
C3H6O,"1S/C3H6O/c1-2-3-4/h3H,2H2,1H3"
C3H7,"InChI=1S/C3H7/c1-3-2/h1,3H2,2H3"
C3H7+,"InChI=1S/C3H7/c1-3-2/h1,3H2,2H3/q+1"
C4H5N+,
C4H6,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2"
C4H6+,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2/q+1"
C5H4N+,"InChI=1S/C5H4N/c1-2-3-4-5-6/h4H,1H3/q+1"
C5H5,"InChI=1S/C5H5/c1-3-5-4-2/h1,4-5H,2H2"
C5H5+,"InChI=1S/C5H4/c1-3-5-4-2/h1H,2H3/q+1"
C6H4,
C6H4+,InChI=1S/C6H4/c1-3-5-6-4-2/h1-2H2/q+1
C7H2N+,InChI=1S/C7HN/c1-2-3-4-5-6-7-8/h1H/p+1
C7H3,
C7H3+,"InChI=1S/C7H3/c1-3-5-7-6-4-2/h1H,2H2/q+1"
C8H2,InChI=1S/C8H2/c1-3-5-7-8-6-4-2/h1-2H
C8H2+,InChI=1S/C8H2/c1-3-5-7-8-6-4-2/h1-2H/q+1
C9H,InChI=1S/C9H/c1-3-5-7-9-8-6-4-2/h1H
C9H-,InChI=1S/C9H/c1-3-5-7-9-8-6-4-2/h1H/q-1
C9H+,InChI=1S/C9H/c1-3-5-7-9-8-6-4-2/h1H/q+1
C9N,InChI=1S/C9N/c1-2-3-4-5-6-7-8-9-10
C9N+,InChI=1S/C9N/c1-2-3-4-5-6-7-8-9-10/q+1
C9O,InChI=1S/C9O/c1-5-7-8(3)9(6-2)10-4
CH3C5N,InChI=1S/C6H3N/c1-2-3-4-5-6-7/h1H3
CH3OCH4+,InChI=1S/C2H6O/c1-3-2/h1-2H3/p+1
C10H,InChI=1S/C10H/c1-3-5-7-9-10-8-6-4-2/h1H
C10H-,InChI=1S/C10H/c1-3-5-7-9-10-8-6-4-2/h1H/q-1
C10H+,InChI=1S/C10H/c1-3-5-7-9-10-8-6-4-2/h1H/q+1
C10N,
C10N+,
C11,InChI=1S/C11/c1-3-5-7-9-11-10-8-6-4-2
C11+,InChI=1S/C11/c1-3-5-7-9-11-10-8-6-4-2/q+1
C3H6OH+,InChI=1S/C3H6O/c1-3(2)4/h1-2H3/p+1
C3H8,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3"
C3H8+,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3/q+1"
C4H5NH+,
C4H7,"InChI=1S/C4H7/c1-3-4-2/h3-4H,1H2,2H3"
C4H7+,"InChI=1S/C4H7/c1-3-4-2/h1H3,2H4/q+1"
C5H5N+,
C5H6,"InChI=1S/C5H6/c1-3-5-4-2/h1,4-5H,2H3"
C6H4N+,InChI=1S/C6H3N/c1-2-3-4-5-6-7/h1H3/p+1
C6H5,InChI=1S/C6H5/c1-2-4-6-5-3-1/h1-5H
C6H5+,InChI=1S/C6H5/c1-2-4-6-5-3-1/h1-5H/q+1
C7H3N+,InChI=1S/C7H3N/c1-2-3-4-5-6-7-8/h1H3/q+1
C7H4,InChI=1S/C7H4/c1-3-5-7-6-4-2/h1-2H2
C7H4+,InChI=1S/C7H4/c1-3-5-7-6-4-2/h1-2H2/q+1
C8H3,
C8H3+,"InChI=1S/C8H3/c1-3-5-7-8-6-4-2/h1H,2H2/q+1"
C9H2,InChI=1S/C9H2/c1-3-5-7-9-8-6-4-2/h1H2
C9H2+,InChI=1S/C9H2/c1-3-5-7-9-8-6-4-2/h1H2/q+1
C9HN+,InChI=1S/C9HN/c1-2-3-4-5-6-7-8-9-10/h1H/q+1
CH3C6H,"InChI=1S/C7H4/c1-3-5-7-6-4-2/h1H,2H3"
C10H2,InChI=1S/C10H2/c1-3-5-7-9-10-8-6-4-2/h1-2H
C10H2+,InChI=1S/C10H2/c1-3-5-7-9-10-8-6-4-2/h1-2H/q+1
C3H9+,
C4H8,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3"
C4H8+,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3/q+1"
C5H7,
C5H7+,
C6H6,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H
C7H5,
C7H5+,"InChI=1S/C7H5/c1-3-5-7-6-4-2/h1H2,2H3/q+1"
C8H4,
C8H4+,InChI=1S/C8H4/c1-3-5-7-8-6-4-2/h1-2H2/q+1
C9H2N+,InChI=1S/C9HN/c1-2-3-4-5-6-7-8-9-10/h1H/p+1
C9H3,
C9H3+,InChI=1S/C9H3/c1-3-5-7-9-8-6-4-2/h1H3/q+1
CH3C7N,InChI=1S/C8H3N/c1-2-3-4-5-6-7-8-9/h1H3
C10H3+,
C4H9,"InChI=1S/C4H9/c1-3-4-2/h1,3-4H2,2H3"
C4H9+,"InChI=1S/C4H9/c1-3-4-2/h1,3-4H2,2H3/q+1"
C5H8,"InChI=1S/C5H8/c1-3-5-4-2/h3-5H,1H2,2H3"
C6H7,
C6H7+,"InChI=1S/C6H7/c1-3-5-6-4-2/h1H3,2H4/q+1"
C7H6,
C8H4N+,InChI=1S/C8H3N/c1-2-3-4-5-6-7-8-9/h1H3/p+1
C8H5+,"InChI=1S/C8H5/c1-3-5-7-8-6-4-2/h1H2,2H3/q+1"
C9H3N+,InChI=1S/C9H3N/c1-2-3-4-5-6-7-8-9-10/h1H3/q+1
C9H4,
C9H4+,"InChI=1S/C9H4/c1-3-5-7-9-8-6-4-2/h1H,2H3/q+1"
C4H10,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3"
C5H9,"InChI=1S/C5H9/c1-3-5-4-2/h3,5H,1,4H2,2H3"
C5H9+,"InChI=1S/C5H9/c1-3-5-4-2/h3,5H,1,4H2,2H3/q+1"
C6H7N+,
C6H8,"InChI=1S/C6H8/c1-3-5-6-4-2/h1,5-6H,4H2,2H3/b6-5+"
C7H7,
C7H7+,
C8H6,
C8H6+,
C9H5+,"InChI=1S/C9H5/c1-3-5-7-9-8-6-4-2/h1H2,2H3/q+1"
C5H10,"InChI=1S/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3"
C6H7NH+,
C6H9,
C7H8,
C8H7+,
C5H11,"InChI=1S/C5H11/c1-3-5-4-2/h1,3-5H2,2H3"
C6H10,
C7H9,
C9H7+,
C5H12,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3"
C6H11,
C7H10,
C9H8+,
C6H12,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3"
C6H13,"InChI=1S/C6H13/c1-3-5-6-4-2/h1,3-6H2,2H3"
C6H14,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
C14H10,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H
C14H10+,InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H/q+1
C15H9+,
D,InChI=1S/H/i1+1
D2,InChI=1S/H2/h1H/i1+1D
e-,
F,InChI=1S/F
F+,InChI=1S/F/q+1
Fe,InChI=1S/Fe
Fe+,InChI=1S/Fe/q+1
FeH,
FO,InChI=1S/FO/c1-2
FNO,InChI=1S/FNO/c1-2-3
FO2,InChI=1S/F2O/c1-3-2
H,InChI=1S/H
H-,InChI=1S/H/q-1
H+,InChI=1S/p+1
He,InChI=1S/He
He+,InChI=1S/He/q+1
H2,InChI=1S/H2/h1H
H2+,InChI=1S/H2/h1H/q+1
HCl,InChI=1S/ClH/h1H
HCl+,InChI=1S/ClH/h1H/q+1
HD+,InChI=1S/H2/h1H/q+1/i1+1
HeH+,InChI=1S/HHe/h1H/q+1
HF,InChI=1S/FH/h1H
HF+,InChI=1S/FH/h1H/q+1
HS,InChI=1S/HS/h1H
HS+,InChI=1S/HS/h1H/q+1
H2Cl+,InChI=1S/ClH2/h1H2/q+1
H2D+,InChI=1S/H3/c1-2-3-1/q+1/i1+1
H2F+,InChI=1S/FH2/h1H2/q+1
H2O,InChI=1S/H2O/h1H2
H2O+,InChI=1S/H2O/h1H2/q+1
H2S,InChI=1S/H2S/h1H2
H2S+,InChI=1S/H2S/h1H2/q+1
H3+,InChI=1S/H3/c1-2-3-1/q+1
HCN,InChI=1S/CHN/c1-2/h1H
HCN+,InChI=1S/CHN/c1-2/h1H/q+1
HCO,InChI=1S/CHO/c1-2/h1H
HCO+,InChI=1S/CHO/c1-2/h1H/q+1
HCP,InChI=1S/CHP/c1-2/h1H
HCP+,InChI=1S/CHP/c1-2/h1H/q+1
HCS,InChI=1S/CHS/c1-2/h1H
